feature,importance
shots_per_game_season,75727.41812634468
shots_per_game_l20,15048.85386633873
toi_per_game_ewma,3468.873855829239
games_played,3006.6591556072235
is_defense,2456.1105093955994
toi_per_game_l5,2148.475492954254
toi_per_game_l10,1769.2927696704865
venue_sog_bias,1366.6466002464294
projected_toi,1344.7724494934082
projected_toi_std,984.4562132358551
team_pace,955.5980892181396
shots_per_game_l10,884.053542137146
toi_per_game_l20,877.2999489307404
expected_game_pace,820.4241893291473
team_id,728.267302274704
toi_per_game_season,718.6847717761993
opponent_team_id,666.4299821853638
shots_per_game_l5,503.5957760810852
icf_per_60_l10,332.8677680492401
opp_shots_against_per_game,290.5997793674469
rest_days,271.27882981300354
team_shots_per_game,253.79345083236694
venue_encoded,240.54045963287354
lineup_confidence,227.739182472229
home_away,149.7525188922882
is_forward,115.13669991493225
opp_goals_against_per_game,107.04302024841309
team_goals_per_game,90.02881956100464
shots_per_game_ewma,66.41963005065918
isf_per_60_l10,60.343010663986206
line_number,42.56945991516113
ev_toi_per_game_l10,8.828460216522217
team_shot_share,0.0
back_to_back,0.0
opponent_shot_quality,0.0
opponent_ca_per_60,0.0
shooting_pct_l20,0.0
pp_unit,0.0
sh_toi_per_game_l10,0.0
pp_toi_per_game_l10,0.0
opponent_sa_per_60,0.0
